,ds,y,ARRECADACAO_D-5,ARRECADACAO_D-4,ARRECADACAO_D-3,ARRECADACAO_D-2,ARRECADACAO_D-1
88,2009-05-18,20679794.70193308,27332874.52758003,28295713.285672072,18870567.968900796,23233176.609936863,18318357.705773473
89,2009-05-19,25160177.74022714,28295713.285672072,18870567.968900796,23233176.609936863,18318357.705773473,20679794.70193308
90,2009-05-20,16856595.244622633,18870567.968900796,23233176.609936863,18318357.705773473,20679794.70193308,25160177.74022714
91,2009-05-21,20488071.859806184,23233176.609936863,18318357.705773473,20679794.70193308,25160177.74022714,16856595.244622633
92,2009-05-22,15125737.782806838,18318357.705773473,20679794.70193308,25160177.74022714,16856595.244622633,20488071.859806184
93,2009-05-25,15287327.612183983,20679794.70193308,25160177.74022714,16856595.244622633,20488071.859806184,15125737.782806838
94,2009-05-26,12192227.85591801,25160177.74022714,16856595.244622633,20488071.859806184,15125737.782806838,15287327.612183983
95,2009-05-27,11709719.529449353,16856595.244622633,20488071.859806184,15125737.782806838,15287327.612183983,12192227.85591801
96,2009-05-28,11233256.528129274,20488071.859806184,15125737.782806838,15287327.612183983,12192227.85591801,11709719.529449353
97,2009-05-29,14795422.670127137,15125737.782806838,15287327.612183983,12192227.85591801,11709719.529449353,11233256.528129274
98,2009-05-31,1483477.2434180668,15287327.612183983,12192227.85591801,11709719.529449353,11233256.528129274,14795422.670127137
99,2009-06-01,15443467.070563216,12192227.85591801,11709719.529449353,11233256.528129274,14795422.670127137,1483477.2434180668
100,2009-06-02,13297676.030605434,11709719.529449353,11233256.528129274,14795422.670127137,1483477.2434180668,15443467.070563216
101,2009-06-03,13182255.61461984,11233256.528129274,14795422.670127137,1483477.2434180668,15443467.070563216,13297676.030605434
102,2009-06-04,12580413.255045537,14795422.670127137,1483477.2434180668,15443467.070563216,13297676.030605434,13182255.61461984
103,2009-06-05,15482590.203186529,1483477.2434180668,15443467.070563216,13297676.030605434,13182255.61461984,12580413.255045537
104,2009-06-08,19011556.319693275,15443467.070563216,13297676.030605434,13182255.61461984,12580413.255045537,15482590.203186529
105,2009-06-09,15754039.579365095,13297676.030605434,13182255.61461984,12580413.255045537,15482590.203186529,19011556.319693275
106,2009-06-10,16047276.062596105,13182255.61461984,12580413.255045537,15482590.203186529,19011556.319693275,15754039.579365095
107,2009-06-12,17168152.527670622,12580413.255045537,15482590.203186529,19011556.319693275,15754039.579365095,16047276.062596105
108,2009-06-15,24318616.987462103,15482590.203186529,19011556.319693275,15754039.579365095,16047276.062596105,17168152.527670622
109,2009-06-16,28649779.123329017,19011556.319693275,15754039.579365095,16047276.062596105,17168152.527670622,24318616.987462103
110,2009-06-17,17839647.538494706,15754039.579365095,16047276.062596105,17168152.527670622,24318616.987462103,28649779.123329017
111,2009-06-18,23086747.662082925,16047276.062596105,17168152.527670622,24318616.987462103,28649779.123329017,17839647.538494706
112,2009-06-19,17501901.086878862,17168152.527670622,24318616.987462103,28649779.123329017,17839647.538494706,23086747.662082925
113,2009-06-22,30717725.47972289,24318616.987462103,28649779.123329017,17839647.538494706,23086747.662082925,17501901.086878862
114,2009-06-23,16567720.297118327,28649779.123329017,17839647.538494706,23086747.662082925,17501901.086878862,30717725.47972289
115,2009-06-24,21423458.146630686,17839647.538494706,23086747.662082925,17501901.086878862,30717725.47972289,16567720.297118327
116,2009-06-25,13602664.609715957,23086747.662082925,17501901.086878862,30717725.47972289,16567720.297118327,21423458.146630686
117,2009-06-26,13336339.62592286,17501901.086878862,30717725.47972289,16567720.297118327,21423458.146630686,13602664.609715957
118,2009-06-29,14718225.389016498,30717725.47972289,16567720.297118327,21423458.146630686,13602664.609715957,13336339.62592286
119,2009-06-30,17208997.798691027,16567720.297118327,21423458.146630686,13602664.609715957,13336339.62592286,14718225.389016498
120,2009-07-01,14270285.474971905,21423458.146630686,13602664.609715957,13336339.62592286,14718225.389016498,17208997.798691027
121,2009-07-02,12914013.140356988,13602664.609715957,13336339.62592286,14718225.389016498,17208997.798691027,14270285.474971905
122,2009-07-03,14786530.727918996,13336339.62592286,14718225.389016498,17208997.798691027,14270285.474971905,12914013.140356988
123,2009-07-06,19494253.530192874,14718225.389016498,17208997.798691027,14270285.474971905,12914013.140356988,14786530.727918996
124,2009-07-07,18445107.606107067,17208997.798691027,14270285.474971905,12914013.140356988,14786530.727918996,19494253.530192874
125,2009-07-08,18097622.993678562,14270285.474971905,12914013.140356988,14786530.727918996,19494253.530192874,18445107.606107067
126,2009-07-09,24400403.33334737,12914013.140356988,14786530.727918996,19494253.530192874,18445107.606107067,18097622.993678562
127,2009-07-10,16207086.881832087,14786530.727918996,19494253.530192874,18445107.606107067,18097622.993678562,24400403.33334737
128,2009-07-13,21654296.214692008,19494253.530192874,18445107.606107067,18097622.993678562,24400403.33334737,16207086.881832087
129,2009-07-14,25823218.378790267,18445107.606107067,18097622.993678562,24400403.33334737,16207086.881832087,21654296.214692008
130,2009-07-15,16454783.857014515,18097622.993678562,24400403.33334737,16207086.881832087,21654296.214692008,25823218.378790267
131,2009-07-16,16076852.991309207,24400403.33334737,16207086.881832087,21654296.214692008,25823218.378790267,16454783.857014515
132,2009-07-17,27323289.754891258,16207086.881832087,21654296.214692008,25823218.378790267,16454783.857014515,16076852.991309207
133,2009-07-20,18623903.0388214,21654296.214692008,25823218.378790267,16454783.857014515,16076852.991309207,27323289.754891258
134,2009-07-21,24594685.38253806,25823218.378790267,16454783.857014515,16076852.991309207,27323289.754891258,18623903.0388214
135,2009-07-22,11160488.693789154,16454783.857014515,16076852.991309207,27323289.754891258,18623903.0388214,24594685.38253806
136,2009-07-23,9023709.826628912,16076852.991309207,27323289.754891258,18623903.0388214,24594685.38253806,11160488.693789154
