,ds,y,PIB_RS_TRIMESTRE_ANTERIOR,PIB_BR_MES_ANTERIOR,ADMISSOES_MES_ANTERIOR,DEMISSOES_MES_ANTERIOR,ARRECADACAO_D-5,ARRECADACAO_D-4,ARRECADACAO_D-3,ARRECADACAO_D-2,ARRECADACAO_D-1
2713,2019-07-09,201854648.06736067,148.854056615552,819899.8745756147,1248106.0,1199670.0,21132582.33694469,-209539.42282049134,37326423.103482045,110116437.71232894,384666822.93574655
2714,2019-07-10,280419686.5308984,148.854056615552,819899.8745756147,1248106.0,1199670.0,-209539.42282049134,37326423.103482045,110116437.71232894,384666822.93574655,201854648.06736067
2715,2019-07-11,94508960.87810227,148.854056615552,819899.8745756147,1248106.0,1199670.0,37326423.103482045,110116437.71232894,384666822.93574655,201854648.06736067,280419686.5308984
2716,2019-07-12,1146415009.2019155,148.854056615552,819899.8745756147,1248106.0,1199670.0,110116437.71232894,384666822.93574655,201854648.06736067,280419686.5308984,94508960.87810227
2717,2019-07-15,44424520.2712825,148.854056615552,819899.8745756147,1248106.0,1199670.0,384666822.93574655,201854648.06736067,280419686.5308984,94508960.87810227,1146415009.2019155
2718,2019-07-16,93851380.78417192,148.854056615552,819899.8745756147,1248106.0,1199670.0,201854648.06736067,280419686.5308984,94508960.87810227,1146415009.2019155,44424520.2712825
2719,2019-07-17,25075150.969808158,148.854056615552,819899.8745756147,1248106.0,1199670.0,280419686.5308984,94508960.87810227,1146415009.2019155,44424520.2712825,93851380.78417192
2720,2019-07-18,92160995.44694795,148.854056615552,819899.8745756147,1248106.0,1199670.0,94508960.87810227,1146415009.2019155,44424520.2712825,93851380.78417192,25075150.969808158
2721,2019-07-19,87503637.28572537,148.854056615552,819899.8745756147,1248106.0,1199670.0,1146415009.2019155,44424520.2712825,93851380.78417192,25075150.969808158,92160995.44694795
2722,2019-07-22,62947363.04672387,148.854056615552,819899.8745756147,1248106.0,1199670.0,44424520.2712825,93851380.78417192,25075150.969808158,92160995.44694795,87503637.28572537
2723,2019-07-23,110882028.30084349,148.854056615552,819899.8745756147,1248106.0,1199670.0,93851380.78417192,25075150.969808158,92160995.44694795,87503637.28572537,62947363.04672387
2724,2019-07-24,37005197.46152512,148.854056615552,819899.8745756147,1248106.0,1199670.0,25075150.969808158,92160995.44694795,87503637.28572537,62947363.04672387,110882028.30084349
2725,2019-07-25,449331804.6410196,148.854056615552,819899.8745756147,1248106.0,1199670.0,92160995.44694795,87503637.28572537,62947363.04672387,110882028.30084349,37005197.46152512
2726,2019-07-26,27550362.52897794,148.854056615552,819899.8745756147,1248106.0,1199670.0,87503637.28572537,62947363.04672387,110882028.30084349,37005197.46152512,449331804.6410196
2727,2019-07-29,273670576.9418746,148.854056615552,819899.8745756147,1248106.0,1199670.0,62947363.04672387,110882028.30084349,37005197.46152512,449331804.6410196,27550362.52897794
2728,2019-07-30,26184002.150737602,148.854056615552,819899.8745756147,1248106.0,1199670.0,110882028.30084349,37005197.46152512,449331804.6410196,27550362.52897794,273670576.9418746
2729,2019-07-31,221442944.8974859,148.854056615552,819899.8745756147,1248106.0,1199670.0,37005197.46152512,449331804.6410196,27550362.52897794,273670576.9418746,26184002.150737602
